セクション,項目,零跑D99 2026款 增程 480尊享版,零跑D99 2026款 增程 480智尊版,零跑D99 2026款 增程 480旗舰版,零跑D99 2026款 增程 480领航版,零跑D99 2026款 纯电 700尊享版,零跑D99 2026款 纯电 700智尊版,零跑D99 2026款 纯电 700旗舰版,零跑D99 2026款 纯电 700领航版
,厂商指导价(元),24.98万 计算器,27.98万 计算器,30.98万 计算器,32.98万 计算器,25.98万 计算器,28.98万 计算器,31.98万 计算器,33.98万 计算器
,经销商报价,24.98万起,27.98万起,30.98万起,32.98万起,25.98万起,28.98万起,31.98万起,33.98万起
基本参数,厂商,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车,零跑汽车
基本参数,级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
基本参数,能源类型,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动
基本参数,环保标准,国VI,国VI,国VI,国VI,-,-,-,-
基本参数,上市时间,2026-06-25,2026-06-25,2026-06-25,2026-08-14,2026-06-25,2026-06-25,2026-06-25,2026-08-14
基本参数,WLTC纯电续航里程(km),352,352,352,352,-,-,-,-
基本参数,CLTC纯电续航里程(km),480,480,480,480,700,700,700,700
基本参数,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
基本参数,电池慢充时间(小时),7.7,7.7,7.7,7.7,10,10,10,10
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,最大功率(kW),300,300,300,300,410,410,410,410
基本参数,最大扭矩(N·m),525,525,525,525,625,625,625,625
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
基本参数,发动机,增程器 136马力,增程器 136马力,增程器 136马力,增程器 136马力,纯电动,纯电动,纯电动,纯电动
基本参数,电动机(Ps),408,408,408,408,558,558,558,558
基本参数,长*宽*高(mm),5280*1995*1900,5280*1995*1880,5280*1995*1880,5280*1995*1900,5280*1995*1900,5280*1995*1880,5280*1995*1880,5280*1995*1900
基本参数,官方0-100km/h加速(s),6.3,6.3,6.3,6.3,5,5,5,5
基本参数,最高车速(km/h),180,180,180,180,180,180,180,180
基本参数,WLTC综合油耗(L/100km),0.12,0.12,0.12,0.12,-,-,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,6.72,6.72,6.72,6.72,-,-,-,-
基本参数,电能当量燃料消耗量(L/100km),-,-,-,-,2.18,2.18,2.18,2.18
基本参数,油电综合燃料消耗量(L/100km),2.88,2.88,2.88,2.88,-,-,-,-
基本参数,整车质保,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 四年或12万公里,● 两年或12万公里
基本参数,首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
基本参数,整备质量(kg),2865,2965,2965,2825,2825,2925,2925,2825
基本参数,最大满载质量(kg),3435,3535,3535,3435,3395,3495,3495,3395
车身,长度(mm),5280,5280,5280,5280,5280,5280,5280,5280
车身,宽度(mm),1995,1995,1995,1995,1995,1995,1995,1995
车身,高度(mm),1900,1880,1880,1900,1900,1880,1880,1900
车身,轴距(mm),3110,3110,3110,3110,3110,3110,3110,3110
车身,前轮距(mm),1715,1715,1715,1715,1715,1715,1715,1715
车身,后轮距(mm),1709,1709,1709,1709,1709,1709,1709,1709
车身,最小离地间隙(mm),145,145,145,145,145,145,145,145
车身,接近角(°),13,13,13,13,13,13,13,13
车身,离去角(°),16,16,16,16,16,16,16,16
车身,车身结构,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身,车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 7,● 7,● 7,● 7,● 7,● 7,● 7,● 7
车身,油箱容积(L),40,40,40,40,-,-,-,-
车身,后备厢容积(L),706,706,706,706,706,706,706,706
车身,风阻系数(Cd),-,-,-,-,-,-,-,-
发动机,发动机型号,BHE15-KFZ,BHE15-KFZ,BHE15-KFZ,BHE15-KFZ,-,-,-,-
发动机,排量(mL),1499,1499,1499,1499,-,-,-,-
发动机,排量(L),1.5,1.5,1.5,1.5,-,-,-,-
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-
发动机,发动机布局,横置,横置,横置,横置,-,-,-,-
发动机,气缸排列形式,L,L,L,L,-,-,-,-
发动机,气缸数(个),4,4,4,4,-,-,-,-
发动机,每缸气门数(个),4,4,4,4,-,-,-,-
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,-,-,-,-
发动机,最大马力(Ps),136,136,136,136,-,-,-,-
发动机,最大功率(kW),100,100,100,100,-,-,-,-
发动机,最大功率转速(rpm),-,-,-,-,-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-,-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-,-,-,-,-
发动机,最大净功率(kW),100,100,100,100,-,-,-,-
发动机,能源类型,增程式,增程式,增程式,增程式,纯电动,纯电动,纯电动,纯电动
发动机,燃油标号,92号,92号,92号,92号,-,-,-,-
发动机,供油方式,多点电喷,多点电喷,多点电喷,多点电喷,-,-,-,-
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,-,-,-,-
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,-,-,-,-
发动机,环保标准,国VI,国VI,国VI,国VI,-,-,-,-
电动机,前电动机品牌,-,-,-,-,金华凌昇,金华凌昇,金华凌昇,金华凌昇
电动机,后电动机品牌,-,-,-,-,金华凌昇,金华凌昇,金华凌昇,金华凌昇
电动机,前电动机型号,QT55TZ180001,QT55TZ180001,QT55TZ180001,QT55TZ180001,YS220QY032,YS220QY032,YS220QY032,YS220QY032
电动机,后电动机型号,TZ220QY049,TZ220QY049,TZ220QY049,TZ220QY049,TZ220QY033,TZ220QY033,TZ220QY033,TZ220QY033
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步,前感应/异步 后永磁/同步
电动机,电动机总功率(kW),300,300,300,300,410,410,410,410
电动机,电动机总马力(Ps),408,408,408,408,558,558,558,558
电动机,电动机总扭矩(N·m),525,525,525,525,625,625,625,625
电动机,前电动机最大功率(kW),100,100,100,100,180,180,180,180
电动机,前电动机最大扭矩(N·m),165,165,165,165,265,265,265,265
电动机,后电动机最大功率(kW),200,200,200,200,230,230,230,230
电动机,后电动机最大扭矩(N·m),360,360,360,360,360,360,360,360
电动机,驱动电机数,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机
电动机,电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
电动机,三电系统质保,-,-,-,● 五年或25万公里,-,-,-,● 六年或60万公里
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 三元锂+磷酸铁锂电池,● 三元锂+磷酸铁锂电池,● 三元锂+磷酸铁锂电池,● 三元锂+磷酸铁锂电池
电池/充电,电芯品牌,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代,● 宁德时代
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),352,352,352,352,-,-,-,-
电池/充电,CLTC纯电续航里程(km),480,480,480,480,700,700,700,700
电池/充电,WLTC综合续航(km),960,960,960,960,-,-,-,-
电池/充电,CLTC综合续航(km),1160,1160,1160,1160,-,-,-,-
电池/充电,电池能量(kWh),80.3,80.3,80.3,80.3,115,115,115,115
电池/充电,百公里耗电量(kWh/100km),23.8,23.8,23.8,23.8,18.8,18.8,18.8,18.8
电池/充电,快充功能,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,高压快充,支持,支持,支持,支持,支持,支持,支持,支持
电池/充电,高压平台（V）,800,800,800,800,1000,1000,1000,1000
电池/充电,电池快充时间(分钟),15,15,15,15,15,15,15,15
电池/充电,电池快充时间(小时),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,电池慢充时间(小时),7.7,7.7,7.7,7.7,10,10,10,10
电池/充电,电池慢充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
电池/充电,对外交流放电功率(kW),6,6,6,6,6,6,6,6
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱,● 双电机四驱
底盘转向,四驱形式,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱,● 电动四驱
底盘转向,前悬架类型,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架,● 双叉臂式独立悬架
底盘转向,后悬架类型,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架,● 五连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19,● 235/55 R19
车轮制动,后轮胎规格,● 265/50 R19,● 265/50 R19,● 265/50 R19,● 265/50 R19,● 265/50 R19,● 265/50 R19,● 265/50 R19,● 265/50 R19
车轮制动,备胎规格,-,-,-,-,-,-,-,-
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
被动安全,前排中间气囊,●,●,●,●,●,●,●,●
主动安全,ABS防抱死,●,●,●,●,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
主动安全,ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●,●,●,●,●
主动安全,疲劳驾驶提示,●,●,●,●,●,●,●,●
主动安全,DOW开门预警,●,●,●,●,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●,●,●,●,●
主动安全,哨兵模式/千里眼,●,●,●,●,●,●,●,●
主动安全,低速行车警告,●,●,●,●,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●,●,●,●,●
主动安全,防侧翻系统,●,●,●,●,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适","● 运动
● 标准/舒适"
驾驶操控,能量回收系统,●,●,●,●,●,●,●,●
驾驶操控,自动驻车,●,●,●,●,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●,●,●,●,●
驾驶操控,陡坡缓降,●,●,●,●,●,●,●,●
驾驶操控,可变悬架功能,● 悬架软硬调节,"● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节",● 悬架软硬调节,● 悬架软硬调节,"● 悬架软硬调节
● 悬架高低调节","● 悬架软硬调节
● 悬架高低调节",● 悬架软硬调节
驾驶操控,空气悬架,-,●,●,-,-,●,●,-
驾驶操控,空气悬挂类型,-,● 双腔,● 双腔,-,-,● 双腔,● 双腔,-
驾驶操控,魔毯智能悬架,●,●,●,●,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,"● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像","● 360度全景影像
● 车侧盲区影像"
驾驶硬件,透明底盘/540度影像,●,●,●,●,●,●,●,●
驾驶硬件,辅助驾驶芯片,"● 高通骁龙8797
○ 2颗 高通骁龙8797","● 高通骁龙8797
○ 2颗 高通骁龙8797",● 2颗 高通骁龙8797,● 高通骁龙8797,"● 高通骁龙8797
○ 2颗 高通骁龙8797","● 高通骁龙8797
○ 2颗 高通骁龙8797",● 2颗 高通骁龙8797,● 高通骁龙8797
驾驶硬件,芯片总算力,"● 640 TOPS
○ 1280 TOPS","● 640 TOPS
○ 1280 TOPS",● 1280 TOPS,● 640 TOPS,"● 640 TOPS
○ 1280 TOPS","● 640 TOPS
○ 1280 TOPS",● 1280 TOPS,● 640 TOPS
驾驶硬件,前方感知摄像头,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目,● 双目
驾驶硬件,摄像头数量,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个,● 11个
驾驶硬件,前方感知摄像头像素,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万,● 800万
驾驶硬件,环境感知摄像头像素,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万
驾驶硬件,环视摄像头像素,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万,● 300万
驾驶硬件,车内摄像头数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,超声波雷达数量,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个,● 12个
驾驶硬件,毫米波雷达数量,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个,● 3个
驾驶硬件,激光雷达品牌,● HESAI禾赛科技,● HESAI禾赛科技,● HESAI禾赛科技,● HESAI禾赛科技,● HESAI禾赛科技,● HESAI禾赛科技,● HESAI禾赛科技,● HESAI禾赛科技
驾驶硬件,激光雷达型号,● AT128,● AT128,● AT128,● AT128,● AT128,● AT128,● AT128,● AT128
驾驶硬件,激光雷达数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个
驾驶硬件,激光雷达线数,● 128线,● 128线,● 128线,● 128线,● 128线,● 128线,● 128线,● 128线
驾驶功能,巡航系统,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航,● 全速自适应巡航
驾驶功能,辅助驾驶系统,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot,● Leapmotor Pilot
驾驶功能,辅助驾驶等级,● L2,● L2,● L2,● L2,● L2,● L2,● L2,● L2
驾驶功能,倒车车侧预警系统,●,●,●,●,●,●,●,●
驾驶功能,卫星导航系统,●,●,●,●,●,●,●,●
驾驶功能,导航路况信息显示,●,●,●,●,●,●,●,●
驾驶功能,地图品牌,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度,● 百度
驾驶功能,并线辅助,●,●,●,●,●,●,●,●
驾驶功能,车道保持辅助系统,●,●,●,●,●,●,●,●
驾驶功能,车道居中保持,●,●,●,●,●,●,●,●
驾驶功能,道路交通标识识别,●,●,●,●,●,●,●,●
驾驶功能,辅助泊车入位,●,●,●,●,●,●,●,●
驾驶功能,遥控泊车,●,●,●,●,●,●,●,●
驾驶功能,记忆泊车,●,●,●,●,●,●,●,●
驾驶功能,循迹倒车,●,●,●,●,●,●,●,●
驾驶功能,辅助变道,●,●,●,●,●,●,●,●
驾驶功能,辅助匝道自动驶出(入),●,●,●,●,●,●,●,●
驾驶功能,信号灯识别,●,●,●,●,●,●,●,●
驾驶功能,方向盘离手检测,●,●,●,●,●,●,●,●
驾驶功能,起步提醒,●,●,●,●,●,●,●,●
驾驶功能,辅助驾驶路段,"● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段","● 城市路段
● 高速路段"
外观/防盗,轮圈材质,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,电动吸合车门,-,-,● 前排,-,-,-,● 前排,-
外观/防盗,侧滑门形式,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动,● 双侧电动
外观/防盗,电动后备厢,●,●,●,●,●,●,●,●
外观/防盗,电动后备厢位置记忆,●,●,●,●,●,●,●,●
外观/防盗,发动机电子防盗,●,●,●,●,-,-,-,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,"● 机械钥匙
● 蓝牙钥匙
○ UWB数字钥匙
● NFC/RFID钥匙","● 机械钥匙
● 蓝牙钥匙
○ UWB数字钥匙
● NFC/RFID钥匙","● 机械钥匙
● 蓝牙钥匙
○ UWB数字钥匙
● NFC/RFID钥匙","● 机械钥匙
● 蓝牙钥匙
● NFC/RFID钥匙","● 机械钥匙
● 蓝牙钥匙
○ UWB数字钥匙
● NFC/RFID钥匙","● 机械钥匙
● 蓝牙钥匙
○ UWB数字钥匙
● NFC/RFID钥匙","● 机械钥匙
● 蓝牙钥匙
○ UWB数字钥匙
● NFC/RFID钥匙","● 机械钥匙
● 蓝牙钥匙
● NFC/RFID钥匙"
外观/防盗,无钥匙启动系统,●,●,●,●,●,●,●,●
外观/防盗,无钥匙进入功能,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车,● 全车
外观/防盗,隐藏电动门把手,●,●,●,●,●,●,●,●
