セクション,項目,极氪8X 2026款 Max版 55kWh,极氪8X 2026款 Max版 70kWh,极氪8X 2026款 Ultra版 55kWh,极氪8X 2026款 Ultra版 70kWh,极氪8X 2026款 Ultra+版 55kWh,极氪8X 2026款 Ultra+版 70kWh,极氪8X 2026款 曜影 70kWh
,厂商指导价(元),35.68万 计算器,37.18万 计算器,37.68万 计算器,39.18万 计算器,41.18万 计算器,42.68万 计算器,50.08万 计算器
,经销商报价,35.68万起,37.18万起,37.68万起,39.18万起,41.18万起,42.68万起,50.08万起
基本参数,厂商,极氪,极氪,极氪,极氪,极氪,极氪,极氪
基本参数,级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
基本参数,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2026-04-17,2026-04-17,2026-04-17,2026-04-17,2026-04-17,2026-04-17,2026-04-17
基本参数,WLTC纯电续航里程(km),257,328,256,328,256,328,268
基本参数,CLTC纯电续航里程(km),320,410,318,410,318,410,330
基本参数,电池快充时间(小时),0.15,0.15,0.15,0.15,0.15,0.15,0.15
基本参数,电池快充电量范围(%),20-80,20-80,20-80,20-80,20-80,20-80,20-80
基本参数,最大功率(kW),-,-,-,-,-,-,-
基本参数,最大扭矩(N·m),-,-,-,-,-,-,-
基本参数,变速箱,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,2.0T 279马力 L4,2.0T 279马力 L4,2.0T 279马力 L4,2.0T 279马力 L4,2.0T 279马力 L4,2.0T 279马力 L4,2.0T 279马力 L4
基本参数,电动机(Ps),898,898,898,898,898,898,1401
基本参数,长*宽*高(mm),5100*1998*1780,5100*1998*1780,5100*1998*1780,5100*1998*1780,5100*1998*1780,5100*1998*1780,5108*2026*1780
基本参数,官方0-100km/h加速(s),3.7,3.7,3.7,3.7,3.7,3.7,2.96
基本参数,最高车速(km/h),220,220,220,220,220,220,230
基本参数,WLTC综合油耗(L/100km),0.41,0.31,0.41,0.31,0.41,0.31,0.44
基本参数,最低荷电状态油耗(L/100km)WLTC,6.43,6.49,6.45,6.49,6.45,6.49,7.45
基本参数,油电综合燃料消耗量(L/100km),2.89,2.83,2.91,2.83,2.91,2.83,3.45
基本参数,整车质保,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里,● 六年或15万公里
基本参数,整备质量(kg),2660,2730,2730,2790,2730,2790,2870
基本参数,最大满载质量(kg),3250,3370,3300,3370,3300,3370,3370
基本参数,准拖挂车总质量(kg),2000,2000,2000,2000,2000,2000,-
车身,长度(mm),5100,5100,5100,5100,5100,5100,5108
车身,宽度(mm),1998,1998,1998,1998,1998,1998,2026
车身,高度(mm),1780,1780,1780,1780,1780,1780,1780
车身,轴距(mm),3069,3069,3069,3069,3069,3069,3069
车身,前轮距(mm),1732,1732,1732,1732,1732,1732,1738
车身,后轮距(mm),1745,1745,1745,1745,1745,1745,1758
车身,最小离地间隙(mm),191,191,191,191,191,191,180
车身,接近角(°),20,20,20,20,20,20,20
车身,离去角(°),22,22,22,22,22,22,21
车身,最小转弯半径(m),5.9,5.9,5.9,5.9,5.9,5.9,5.9
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),"● 5
○ 6 (10000元)","● 5
○ 6 (10000元)","● 5
○ 6 (10000元)","● 5
○ 6 (10000元)","● 5
○ 6 (10000元)","● 5
○ 6 (10000元)",● 5
车身,油箱容积(L),55,55,55,55,55,55,55
车身,后备厢容积(L),1133-2200,1133-2200,1133-2200,1133-2200,1133-2200,1133-2200,1133-2200
车身,风阻系数(Cd),-,-,-,-,-,-,-
发动机,发动机型号,DHE20-PFZ,DHE20-PFZ,DHE20-PFZ,DHE20-PFZ,DHE20-PFZ,DHE20-PFZ,DHE20-PFZ
发动机,排量(mL),1974,1974,1974,1974,1974,1974,1974
发动机,排量(L),2.0,2.0,2.0,2.0,2.0,2.0,2.0
发动机,进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
发动机,发动机布局,横置,横置,横置,横置,横置,横置,横置
发动机,气缸排列形式,L,L,L,L,L,L,L
发动机,气缸数(个),4,4,4,4,4,4,4
发动机,每缸气门数(个),4,4,4,4,4,4,4
发动机,配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,最大马力(Ps),279,279,279,279,279,279,279
发动机,最大功率(kW),205,205,205,205,205,205,205
发动机,最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500
发动机,最大扭矩(N·m),410,410,410,410,410,410,410
发动机,最大扭矩转速(rpm),2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500,2000-4500
发动机,最大净功率(kW),202,202,202,202,202,202,202
发动机,能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
发动机,燃油标号,95号,95号,95号,95号,95号,95号,95号
发动机,供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷
发动机,缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
发动机,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动机,前电动机型号,TZ220QYA01,TZ220QYA01,TZ220QYA01,TZ220QYA01,TZ220QYA01,TZ220QYA01,TZ220QYA01
电动机,后电动机型号,TZ230XYC04,TZ230XYC04,TZ230XYC04,TZ230XYC04,TZ230XYC04,TZ230XYC04,TZ230XYC04/TZ230XYC04
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),660,660,660,660,660,660,1030
电动机,电动机总马力(Ps),898,898,898,898,898,898,1401
电动机,电动机总扭矩(N·m),935,935,935,935,935,935,1410
电动机,前电动机最大功率(kW),290,290,290,290,290,290,290
电动机,后电动机最大功率(kW),370,370,370,370,370,370,740
电动机,驱动电机数,双电机,双电机,双电机,双电机,双电机,双电机,三电机
电动机,电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池,● 三元锂电池
