セクション,項目,AION V 2026款 埃安霸王龙 家庭版 520 智豪版,AION V 2026款 埃安霸王龙 家庭版 520 智尊版,AION V 2026款 埃安霸王龙 家庭版 650 智豪版,AION V 2026款 埃安霸王龙 家庭版 650 智尊版,AION V 2026款 埃安霸王龙 家庭版 650 畅行版,AION V 2025款 埃安霸王龙 650 智享版,AION V 2024款 埃安霸王龙 520 智享版,AION V 2024款 埃安霸王龙 520 智豪版,AION V 2024款 埃安霸王龙 520 智尊版,AION V 2024款 埃安霸王龙 650 智豪版,AION V 2024款 埃安霸王龙 650 智尊版,AION V 2024款 埃安霸王龙 520 激光雷达版,AION V 2024款 埃安霸王龙 650 激光雷达版,AION V 2024款 埃安霸王龙 520 行政版,AION V 2024款 埃安霸王龙 650 行政版,AION V 2025款 埃安霸王龙 插电混动
,厂商指导价(元),10.98万 计算器,12.28万 计算器,12.88万 计算器,13.58万 计算器,14.18万 计算器,13.98万 计算器,12.98万 计算器,13.98万 计算器,14.98万 计算器,14.98万 计算器,15.98万 计算器,16.98万 计算器,18.98万 计算器,18.16万 计算器,19.36万 计算器,预售
,经销商报价,10.18万起,11.48万起,12.08万起,12.78万起,13.38万起,13.18万起,12.18万起,13.18万起,14.18万起,14.18万起,15.18万起,16.18万起,18.18万起,17.36万起,18.56万起,暂无报价
基本参数,厂商,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安
基本参数,级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
基本参数,能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力
基本参数,环保标准,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,国VI
基本参数,上市时间,2025-08-27,2025-08-27,2025-08-27,2025-08-27,2025-09-10,2025-02-17,2024-07-23,2024-07-23,2024-07-23,2024-07-23,2024-07-23,2024-08-30,2024-07-23,2024-09-02,2024-09-02,-
基本参数,CLTC纯电续航里程(km),520,520,650,650,650,650,520,520,520,650,650,520,650,520,650,-
基本参数,电池快充时间(小时),0.37,0.37,0.37,0.37,0.37,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,-
基本参数,电池慢充时间(小时),-,-,-,-,-,12.9,10.9,10.9,10.9,12.9,12.9,10.9,12.9,10.9,12.9,-
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
基本参数,电池慢充电量范围(%),-,-,-,-,-,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100,0-100
基本参数,最大功率(kW),150,150,165,165,165,165,150,150,150,165,165,150,165,150,165,-
基本参数,最大扭矩(N·m),205,205,240,240,240,240,240,240,240,240,240,240,240,240,240,-
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,-
基本参数,车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
基本参数,发动机,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
基本参数,电动机(Ps),204,204,224,224,224,224,204,204,204,224,224,204,224,204,224,0
基本参数,长*宽*高(mm),4580*1854*1639,4580*1854*1686,4580*1854*1686,4580*1854*1686,4580*1854*1686,4605*1854*1686,4605*1854*1686,4605*1854*1686,4605*1854*1686,4605*1854*1686,4605*1854*1686,4605*1876*1686,4605*1876*1686,4605*1854*1686,4605*1854*1686,4580*1854*1686
基本参数,官方0-100km/h加速(s),7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,-
基本参数,最高车速(km/h),160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,180
基本参数,整车质保,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里,● 四年或15万公里
基本参数,整备质量(kg),1780,1780,1880,1880,1880,1880,1780,1780,1780,1880,1880,1780,1880,1780,1880,1900
基本参数,最大满载质量(kg),2280,2280,2350,2350,2350,2350,2280,2280,2280,2350,2350,2280,2350,2280,2350,2325
车身,长度(mm),4580,4580,4580,4580,4580,4605,4605,4605,4605,4605,4605,4605,4605,4605,4605,4580
车身,宽度(mm),1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1876,1876,1854,1854,1854
车身,高度(mm),1639,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686
车身,轴距(mm),2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775
车身,前轮距(mm),1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
车身,后轮距(mm),1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
车身,接近角(°),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
车身,离去角(°),27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
车身,车身结构,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身,车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,后备厢容积(L),-,-,-,-,-,427,427,427,427,427,427,427,427,427,427,427
车身,风阻系数(Cd),0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
发动机,发动机型号,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4A15K3
发动机,排量(mL),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1498
发动机,排量(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5
发动机,进气形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,气缸排列形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,气缸数(个),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,每缸气门数(个),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,配气机构,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DOHC
发动机,最大马力(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101
发动机,最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74
