セクション,項目,深蓝SL03 2025款 改款 增程精英型,深蓝SL03 2025款 增程运动型,深蓝SL03 2025款 改款 纯电精英型,深蓝SL03 2025款 纯电运动型
,厂商指导价(元),12.99万 计算器,14.69万 计算器,12.99万 计算器,14.69万 计算器
,经销商报价,11.99万起,13.19万起,11.99万起,13.19万起
基本参数,厂商,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车
基本参数,级别,中型车,中型车,中型车,中型车
基本参数,能源类型,增程式,增程式,纯电动,纯电动
基本参数,环保标准,国VI,国VI,-,-
基本参数,上市时间,2025-03-28,2024-09-27,2025-03-28,2024-09-27
基本参数,WLTC纯电续航里程(km),100,165,-,-
基本参数,CLTC纯电续航里程(km),140,220,530,530
基本参数,电池快充时间(小时),0.5,0.5,0.25,0.25
基本参数,电池快充电量范围(%),30-80,30-80,30-80,30-80
基本参数,最大功率(kW),175,160,190,190
基本参数,最大扭矩(N·m),320,320,320,320
基本参数,变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
基本参数,车身结构,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
基本参数,发动机,1.5L 95马力 L4,1.5L 95马力 L4,纯电动,纯电动
基本参数,电动机(Ps),238,218,258,258
基本参数,长*宽*高(mm),4820*1890*1480,4820*1890*1480,4820*1890*1480,4820*1890*1480
基本参数,官方0-100km/h加速(s),7.2,7.5,6.4,6.4
基本参数,最高车速(km/h),170,170,170,170
基本参数,CLTC综合油耗(L/100km),1.11,0.7,-,-
基本参数,WLTC综合油耗(L/100km),1.15,0.75,-,-
基本参数,最低荷电状态油耗(L/100km)WLTC,4.9,5,-,-
基本参数,最低荷电状态油耗(L/100km)NEDC,4,-,-,-
基本参数,最低荷电状态油耗(L/100km)CLTC,-,4.5,-,-
基本参数,电能当量燃料消耗量(L/100km),1.39,1.9,1.44,1.44
基本参数,油电综合燃料消耗量(L/100km),2.75,2.53,-,-
基本参数,整车质保,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里,● 三年或12万公里
基本参数,整备质量(kg),1780,1840,1810,1810
基本参数,最大满载质量(kg),2175,2235,2225,2225
车身,长度(mm),4820,4820,4820,4820
车身,宽度(mm),1890,1890,1890,1890
车身,高度(mm),1480,1480,1480,1480
车身,轴距(mm),2900,2900,2900,2900
车身,前轮距(mm),1620,1620,1620,1620
车身,后轮距(mm),1630,1630,1630,1630
车身,接近角(°),15,15,15,15
车身,离去角(°),20,20,20,20
车身,车身结构,掀背车,掀背车,掀背车,掀背车
车身,车门开启方式,平开门,平开门,平开门,平开门
车身,车门数(个),● 5,● 5,● 5,● 5
车身,座位数(个),● 5,● 5,● 5,● 5
车身,油箱容积(L),45,45,-,-
车身,前备厢容积(L),-,-,70,70
车身,后备厢容积(L),473-1180,473-1180,473-1180,473-1180
车身,风阻系数(Cd),0.23,0.23,0.23,0.23
发动机,发动机型号,JL473QJ,JL473QJ,-,-
发动机,排量(mL),1480,1480,-,-
发动机,排量(L),1.5,1.5,-,-
发动机,进气形式,自然吸气,自然吸气,-,-
发动机,发动机布局,横置,横置,-,-
发动机,气缸排列形式,L,L,-,-
发动机,气缸数(个),4,4,-,-
发动机,每缸气门数(个),4,4,-,-
发动机,配气机构,DOHC,DOHC,-,-
发动机,最大马力(Ps),95,95,-,-
发动机,最大功率(kW),70,70,-,-
发动机,最大功率转速(rpm),-,-,-,-
发动机,最大扭矩(N·m),-,-,-,-
发动机,最大扭矩转速(rpm),-,-,-,-
发动机,最大净功率(kW),66,66,-,-
发动机,能源类型,增程式,增程式,纯电动,纯电动
发动机,燃油标号,92号,92号,-,-
发动机,供油方式,多点电喷,多点电喷,-,-
发动机,缸盖材料,铝合金,铝合金,-,-
发动机,缸体材料,铝合金,铝合金,-,-
发动机,环保标准,国VI,国VI,-,-
电动机,后电动机品牌,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车
电动机,后电动机型号,XTDM16,XTDM16,XTDM27,XTDM27
电动机,电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机,电动机总功率(kW),175,160,190,190
电动机,电动机总马力(Ps),238,218,258,258
电动机,电动机总扭矩(N·m),320,320,320,320
电动机,后电动机最大功率(kW),175,160,190,190
电动机,后电动机最大扭矩(N·m),320,320,320,320
电动机,驱动电机数,单电机,单电机,单电机,单电机
电动机,电机布局,后置,后置,后置,后置
电动机,三电首任车主质保政策,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）,● 终身质保/非营运（责任免除条款以官方为准）
电池/充电,电池类型,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池,● 磷酸铁锂电池
电池/充电,电芯品牌,● 中创新航,"● 宁德时代
● 中创新航",● 宁德时代,● 宁德时代
电池/充电,电池冷却方式,液冷,液冷,液冷,液冷
电池/充电,WLTC纯电续航里程(km),100,165,-,-
电池/充电,CLTC纯电续航里程(km),140,220,530,530
电池/充电,CLTC综合续航(km),1140,1200,-,-
电池/充电,电池能量(kWh),18.99,28.39,56.1,56.1
电池/充电,百公里耗电量(kWh/100km),13.8,15.3,12.4,12.4
电池/充电,快充功能,支持,支持,支持,支持
电池/充电,电池快充时间(小时),0.5,0.5,0.25,0.25
电池/充电,电池快充电量范围(%),30-80,30-80,30-80,30-80
电池/充电,慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧
电池/充电,对外交流放电功率(kW),3.3,3.3,3.3,3.3
变速箱,简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱,挡位个数,1,1,1,1
变速箱,变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
底盘转向,驱动方式,● 后置后驱,● 后置后驱,● 后置后驱,● 后置后驱
底盘转向,前悬架类型,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架,● 麦弗逊式独立悬架
底盘转向,后悬架类型,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架,● 多连杆式独立悬架
底盘转向,助力类型,● 电动助力,● 电动助力,● 电动助力,● 电动助力
底盘转向,车体结构,承载式,承载式,承载式,承载式
车轮制动,前制动器类型,● 通风盘式,● 通风盘式,● 通风盘式,● 通风盘式
车轮制动,后制动器类型,● 盘式,● 盘式,● 盘式,● 盘式
车轮制动,驻车制动类型,● 电子驻车,● 电子驻车,● 电子驻车,● 电子驻车
车轮制动,前轮胎规格,"● 225/55 R18
○ 245/45 R19",● 245/45 R19,"● 225/55 R18
○ 245/45 R19",● 245/45 R19
车轮制动,后轮胎规格,"● 225/55 R18
○ 245/45 R19",● 245/45 R19,"● 225/55 R18
○ 245/45 R19",● 245/45 R19
车轮制动,备胎规格,-,-,● 补胎工具,● 补胎工具
被动安全,主/副驾驶座安全气囊,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
被动安全,前/后排侧气囊,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
被动安全,前/后排头部气囊(气帘),前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
主动安全,ABS防抱死,●,●,●,●
主动安全,制动力分配(EBD/CBC等),●,●,●,●
主动安全,刹车辅助(EBA/BAS/BA等),●,●,●,●
主动安全,牵引力控制(ASR/TCS/TRC等),●,●,●,●
主动安全,车身稳定控制(ESC/ESP/DSC等),●,●,●,●
主动安全,胎压监测功能,● 胎压显示,● 胎压显示,● 胎压显示,● 胎压显示
主动安全,安全带未系提醒,● 前排,● 前排,● 前排,● 前排
主动安全,ISOFIX儿童座椅接口,●,●,●,●
主动安全,车道偏离预警系统,●,●,●,●
主动安全,主动刹车/主动安全系统,●,●,●,●
主动安全,疲劳驾驶提示,-,-,-,-
主动安全,DOW开门预警,●,●,●,●
主动安全,前方碰撞预警,●,●,●,●
主动安全,后方碰撞预警,●,●,●,●
主动安全,低速行车警告,●,●,●,●
主动安全,内置行车记录仪,●,●,●,●
主动安全,道路救援呼叫,●,●,●,●
驾驶操控,驾驶模式切换,"● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化","● 运动
● 经济
● 标准/舒适
● 自定义/个性化"
驾驶操控,能量回收系统,●,●,●,●
驾驶操控,自动驻车,●,●,●,●
驾驶操控,上坡辅助,●,●,●,●
驾驶硬件,前/后驻车雷达,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
驾驶硬件,驾驶辅助影像,● 360度全景影像,● 360度全景影像,● 360度全景影像,● 360度全景影像
驾驶硬件,透明底盘/540度影像,●,●,●,●
驾驶硬件,前方感知摄像头,● 单目,● 单目,● 单目,● 单目
驾驶硬件,摄像头数量,● 5个,● 5个,● 5个,● 5个
驾驶硬件,前方感知摄像头像素,● 200万,● 200万,● 200万,● 200万
驾驶硬件,环视摄像头像素,● 100万,● 100万,● 100万,● 100万
驾驶硬件,车内摄像头数量,○ 1个,● 1个,○ 1个,● 1个
驾驶硬件,超声波雷达数量,● 6个,● 6个,● 6个,● 6个
驾驶硬件,毫米波雷达数量,● 3个,● 3个,● 3个,● 3个
